,time,X_value,Y_value,Z_value
255,10.5082,3.46691,-7.32888,-0.92419
256,10.5107,3.21551,-7.16128,-0.63209
257,10.519,3.05749,-7.07508,-0.49801
258,10.519,2.1333,-6.77819,-0.16042
259,10.519,2.1333,-6.77819,-0.16042
260,10.519,1.90105,-6.71115,-0.11253
261,10.5207,1.44375,-6.59383,-0.08141
262,10.5232,1.19714,-6.55074,-0.10774
263,10.5245,0.65843,-6.40229,-0.17957
264,10.5263,0.10295,-6.19638,-0.26098
265,10.5282,-0.18915,-6.09582,-0.249
266,10.5301,-0.74941,-6.01442,-0.05267
267,10.5325,-1.23545,-6.08385,0.19154
268,10.5377,-1.9226,-6.27779,0.62491
269,10.5377,-2.18118,-6.37595,0.7518
270,10.5382,-2.42301,-6.47891,0.88349
271,10.5404,-2.57145,-6.61059,1.0056
272,10.5422,-2.54033,-6.75425,1.04869
273,10.5442,-2.32484,-6.66566,1.03193
274,10.5464,-1.86035,-6.45497,0.99123
275,10.5481,-1.24263,-6.25863,0.89785
276,10.5501,-0.89067,-6.13892,0.85236
277,10.5522,-0.18196,-5.83964,0.80208
278,10.5572,1.27136,-5.32726,0.8763
279,10.5574,1.27136,-5.15487,0.92419
280,10.5582,1.60895,-4.97051,0.99602
281,10.5603,1.97767,-4.74785,1.08221
282,10.5623,2.74384,-4.24265,1.26178
283,10.5644,3.45733,-3.76619,1.47727
284,10.5664,3.78774,-3.53395,1.5898
285,10.5682,4.29054,-3.12692,1.76219
286,10.5702,4.62813,-2.83961,1.85317
287,10.5723,4.75264,-2.72229,1.86275
288,10.583,4.99925,-2.38949,1.77895
289,10.583,4.99925,-2.38949,1.77895
290,10.5831,5.04234,-2.32245,1.73585
291,10.5831,5.08065,-2.20513,1.5898
292,10.5831,5.08305,-2.15964,1.47966
293,10.5847,4.99446,-2.10696,1.19953
294,10.5862,4.83883,-2.12133,0.91701
295,10.5881,4.73827,-2.15724,0.78772
296,10.5905,4.56109,-2.26977,0.56265
297,10.5924,4.40068,-2.35118,0.46688
298,10.5975,4.20674,-2.66483,0.05267
299,10.5978,4.20674,-2.66483,0.05267
300,10.598,4.11815,-2.74144,-0.11253
301,10.6,3.88351,-2.91144,-0.47885
302,10.6018,3.68239,-3.04791,-0.74223
303,10.6052,3.5555,-3.11256,-0.81405
304,10.6062,3.28973,-3.22748,-0.93377
305,10.6082,3.00721,-3.33762,-0.9601
306,10.61,2.88031,-3.37832,-0.93137
307,10.6121,2.62891,-3.41424,-0.88109
308,10.6178,2.20992,-3.50043,-0.73983
309,10.6179,2.09499,-3.53156,-0.65124
310,10.619,1.98246,-3.53395,-0.62491
311,10.6205,1.87232,-3.5148,-0.66321
312,10.6227,1.6712,-3.44536,-0.72068
313,10.625,1.42699,-3.43339,-0.68955
314,10.6266,1.31206,-3.40705,-0.68476
315,10.6285,1.10137,-3.32804,-0.68955
316,10.6301,0.98165,-3.28973,-0.70152
317,10.6325,0.7518,-3.20833,-0.79729
318,10.6378,0.39266,-3.0527,-1.11573
319,10.638,0.39266,-3.0527,-1.11573
320,10.6386,0.32083,-3.02157,-1.1708
321,10.6401,0.26816,-2.98805,-1.23784
322,10.6424,0.2514,-2.95214,-1.34319
323,10.6442,0.24422,-2.8875,-1.50839
324,10.6462,0.32562,-2.81088,-1.6305
325,10.6481,0.39027,-2.61215,-1.90824
326,10.6501,0.48125,-2.52117,-2.11175
327,10.6526,0.52435,-2.5092,-2.20992
328,10.6576,0.84757,-2.59061,-2.49005
329,10.6576,0.84757,-2.59061,-2.49005
330,10.6581,0.99362,-2.61934,-2.5499
331,10.6605,1.3384,-2.68159,-2.68877
332,10.6621,1.6712,-2.72947,-2.82285
333,10.6646,1.8412,-2.86116,-2.8875
334,10.6666,2.22428,-3.01679,-3.0096
335,10.6685,2.44934,-3.06946,-3.10537
336,10.6713,2.94496,-3.15087,-3.28734
337,10.6725,3.42381,-3.26819,-3.32325
338,10.6776,4.25941,-3.68479,-3.21791
339,10.6777,4.53955,-3.68479,-3.17002
340,10.678,4.86517,-3.70873,-3.29213
341,10.6799,5.14051,-3.74704,-3.4717
342,10.6822,5.5212,-3.9721,-3.94337
343,10.6846,5.66964,-4.12055,-4.21632
344,10.6864,5.98808,-4.48208,-4.65208
345,10.6893,6.27061,-4.96094,-5.03037
346,10.6903,6.39511,-5.26022,-5.23388
347,10.6993,6.67284,-5.93062,-5.78936
348,10.6994,7.11578,-7.34324,-7.13254
349,10.6994,7.11578,-7.34324,-7.13254
350,10.6994,7.21156,-7.73351,-7.54436
351,10.7013,7.29536,-8.13814,-7.94899
352,10.7056,7.28578,-8.98571,-8.58587
353,10.7056,7.22832,-9.77582,-8.85642
354,10.7072,7.22113,-10.1637,-8.84445
355,10.7081,7.22353,-10.92747,-8.59784
356,10.7116,7.09902,-11.89715,-7.9442
357,10.7128,7.07269,-12.16052,-7.56112
358,10.7177,8.08068,-13.24992,-5.55711
359,10.718,8.08068,-13.24992,-5.55711
360,10.718,8.51644,-13.633,-4.83404
361,10.72,9.54597,-14.54282,-3.33044
362,10.7221,10.11821,-15.09111,-2.65525
363,10.7239,11.07592,-16.46543,-1.48445
364,10.726,11.3345,-18.32099,-0.68237
365,10.7283,11.20042,-19.41278,-0.51237
366,10.7303,10.68325,-21.78072,-0.64885
367,10.7329,9.76146,-24.15823,-1.34319
368,10.7384,7.78858,-26.98587,-3.21312
369,10.7385,7.78858,-26.98587,-3.21312
370,10.7389,7.13015,-27.55331,-3.95534
371,10.74,6.26582,-27.8526,-5.30811
372,10.742,6.22751,-27.0577,-6.43581
373,10.7439,6.39032,-26.3035,-6.83805
374,10.7478,6.83565,-24.29471,-7.1924
375,10.7496,7.4438,-21.73044,-7.17085
376,10.75,7.69999,-20.35134,-7.08945
377,10.7524,7.87238,-17.5644,-6.92903
378,10.7583,7.25465,-13.62582,-7.32888
379,10.7586,6.87396,-12.40474,-7.32409
380,10.7589,6.44778,-11.20521,-7.111
381,10.7599,5.98569,-10.07271,-6.70636
382,10.7621,4.94897,-8.04476,-5.44698
383,10.7648,3.6393,-6.40947,-3.8069
384,10.7668,2.89468,-5.7726,-2.89947
385,10.769,1.36713,-4.83404,-1.10615
386,10.7699,-0.14605,-4.518,-0.28013
387,10.7736,-0.84518,-4.18998,1.03433
388,10.7776,-3.13171,-4.67841,2.23625
389,10.7776,-3.13171,-4.67841,2.23625
390,10.7782,-3.66324,-5.0615,2.33202
391,10.7804,-4.7239,-6.21554,2.57863
392,10.7831,-5.17403,-6.83087,2.59539
393,10.7865,-6.13653,-8.18124,2.37273
394,10.7865,-7.20437,-8.98332,2.20513
395,10.7883,-7.74787,-10.78381,2.07344
396,10.7899,-8.7391,-12.64417,1.68318
397,10.7922,-9.15331,-13.48934,1.51558
398,10.7974,-9.90272,-15.79264,2.18837
399,10.7977,-9.90272,-15.79264,2.18837
400,10.7981,-9.83089,-16.07995,2.65046
401,10.8003,-9.46217,-16.475,3.50282
402,10.8023,-8.77023,-16.63063,4.04632
403,10.8044,-8.3632,-16.64979,4.09421
404,10.8066,-7.60901,-16.6881,3.63211
405,10.809,-7.29057,-16.73598,3.11016
406,10.8106,-6.76622,-16.83654,1.57783
407,10.8124,-6.19159,-16.79823,-0.10535
408,10.8182,-4.91784,-16.24755,-2.04711
409,10.8196,-4.91784,-16.24755,-2.04711
410,10.8196,-4.54673,-16.0177,-2.32484
411,10.8208,-4.16364,-15.79024,-2.57624
412,10.8221,-3.45015,-15.36646,-2.93778
413,10.824,-3.16044,-15.18928,-3.00242
414,10.8265,-2.72229,-14.96661,-2.88031
415,10.8339,-2.44695,-15.07435,-2.62173
416,10.8339,-2.37751,-15.27069,-2.49723
417,10.8339,-2.29132,-15.8908,-2.09499
418,10.8382,-2.03992,-17.41835,-0.12211
419,10.8382,-2.03992,-17.41835,-0.12211
420,10.8382,-2.0088,-17.77031,0.48843
421,10.8405,-1.87711,-18.03128,1.60177
422,10.8425,-1.76937,-18.39282,1.98007
423,10.8441,-1.35277,-18.4,2.29372
424,10.846,-1.05109,-18.26113,2.2578
425,10.8481,-0.26098,-17.62186,1.93218
426,10.8499,0.56984,-16.6426,1.49403
427,10.8519,0.94574,-16.07755,1.36713
428,10.8578,2.0495,-13.85806,1.18756
429,10.8586,2.0495,-13.85806,1.18756
430,10.8586,2.16203,-13.40554,1.15165
431,10.8605,2.25541,-12.61543,1.10376
432,10.8619,2.25062,-12.26108,1.05827
433,10.8642,2.27217,-11.60744,1.01996
434,10.8661,2.25301,-11.01606,0.89306
435,10.8679,2.23146,-10.76705,0.82602
436,10.8702,2.22428,-10.35045,0.70631
437,10.8722,2.23865,-10.05117,0.59617
438,10.8769,2.29372,-9.8285,0.40703
439,10.8772,2.29372,-9.8285,0.40703
440,10.8784,2.36075,-9.75188,0.31844
441,10.8802,2.43737,-9.69681,0.06465
442,10.8821,2.3416,-9.80455,-0.18196
443,10.8838,2.27217,-9.88596,-0.34717
444,10.8862,2.2147,-9.96258,-0.69195
445,10.8879,2.06386,-10.05117,-0.94334
446,10.89,1.99443,-10.10863,-1.03672
447,10.8925,1.88669,-10.19482,-1.1277
448,10.8976,1.65923,-10.24271,-0.89785
449,10.8976,1.65923,-10.24271,-0.89785
450,10.8984,1.62332,-10.23553,-0.78053
451,10.9008,1.58262,-10.24271,-0.65124
452,10.9022,1.46051,-10.26426,-0.38069
453,10.9067,1.52036,-10.19482,-0.17957
454,10.9068,1.59219,-10.14215,-0.10535
455,10.9094,1.77655,-10.04398,0.01197
456,10.9109,2.02556,-9.90033,0.11971
457,10.9128,2.14766,-9.80455,0.18675
458,10.9171,2.55709,-9.49091,0.3352
459,10.9177,2.55709,-9.49091,0.3352
460,10.9179,2.65286,-9.42147,0.35675
461,10.9202,2.8444,-9.28021,0.40463
462,10.9218,2.95214,-9.20599,0.44534
463,10.9237,3.16763,-9.06233,0.4621
464,10.9259,3.3879,-8.89952,0.52435
465,10.9279,3.5124,-8.81333,0.56505
466,10.9302,3.74465,-8.67925,0.6273
467,10.9323,3.83084,-8.61939,0.64885
468,10.9369,3.74465,-8.47094,0.50759
469,10.9372,3.74465,-8.47094,0.50759
470,10.9379,3.65127,-8.45897,0.419
471,10.94,3.49325,-8.43264,0.23943
472,10.9423,3.37593,-8.33926,-0.0431
473,10.9448,3.32804,-8.27222,-0.21309
474,10.9464,3.20593,-8.15969,-0.54111
475,10.948,3.12453,-8.09744,-0.67997
476,10.9503,2.93538,-7.96336,-0.84997
477,10.9523,2.7582,-7.78858,-0.94813
478,10.9579,2.63131,-7.45098,-0.8763
479,10.958,2.63849,-7.30972,-0.83321
480,10.9586,2.67201,-7.16606,-0.78772
481,10.9669,2.71511,-7.0272,-0.77096
482,10.9669,2.75581,-6.78777,-0.77575
483,10.9669,2.67201,-6.69918,-0.73504
484,10.967,2.63131,-6.57228,-0.70871
485,10.9681,2.55948,-6.50285,-0.64885
486,10.9724,2.50681,-6.46694,-0.60815
487,10.9724,2.40146,-6.3999,-0.47646
488,10.9775,2.04232,-6.38793,-0.21788
489,10.9775,2.04232,-6.38793,-0.21788
490,10.9779,1.88429,-6.42144,-0.12929
491,10.9812,1.53234,-6.46694,0.1245
492,10.9817,1.30727,-6.46933,0.24422
493,10.9842,0.82363,-6.43581,0.36632
494,10.9868,0.61054,-6.37595,0.35914
495,10.988,0.24422,-6.24187,0.36154
496,10.9899,-0.0838,-6.04315,0.40703
497,10.9919,-0.26576,-5.93301,0.44773
498,10.9981,-1.01757,-5.40148,0.56265
499,10.9981,-1.01757,-5.40148,0.56265
500,10.9981,-1.19474,-5.3129,0.59139
501,11.0002,-1.45093,-5.16445,0.66321
502,11.0023,-1.53712,-5.08544,0.7111
503,11.0041,-1.66163,-4.89629,0.90025
504,11.0063,-1.75979,-4.71193,1.13249
505,11.0082,-1.80049,-4.64729,1.23545
506,11.0103,-1.80049,-4.56349,1.3791
507,11.0123,-1.77655,-4.52757,1.46769
508,11.0172,-1.7167,-4.51321,1.62571
509,11.0175,-1.68796,-4.53715,1.68318
510,11.0178,-1.63529,-4.53715,1.68318
511,11.0207,-1.56107,-4.57067,1.70951
512,11.0222,-1.37431,-4.58264,1.71191
513,11.0246,-1.27615,-4.5994,1.75021
514,11.0264,-1.11334,-4.67841,1.69994
515,11.0289,-0.84278,-4.78855,1.50121
516,11.0301,-0.69913,-4.86038,1.4198
517,11.0328,-0.38308,-5.02798,1.40065
518,11.0385,0.13647,-5.31768,1.49882
519,11.0391,0.32083,-5.435,1.54431
520,11.0391,0.5004,-5.55951,1.58262
521,11.0401,0.69195,-5.66725,1.59938
522,11.0423,1.04151,-5.88513,1.54431
523,11.0442,1.37431,-6.12216,1.39347
524,11.0466,1.49403,-6.24666,1.26418
525,11.0479,1.6305,-6.50524,0.93616
526,11.0522,1.67839,-6.73031,0.56984
527,11.0522,1.6736,-6.83087,0.39984
528,11.0579,1.56346,-7.21395,-0.25619
529,11.058,1.56346,-7.21395,-0.25619
530,11.0589,1.51558,-7.31212,-0.35435
531,11.0611,1.45811,-7.47253,-0.47646
532,11.0624,1.43656,-7.54436,-0.48125
533,11.0655,1.4198,-7.69759,-0.39266
534,11.0658,1.46769,-7.87238,-0.36154
535,11.0679,1.47487,-7.97772,-0.36872
536,11.0698,1.42938,-8.21715,-0.36632
537,11.0724,1.43417,-8.30813,-0.38308
538,11.0836,1.57304,-8.64333,-0.53153
539,11.0837,1.57304,-8.64333,-0.53153
540,11.0837,1.60416,-8.70319,-0.56265
541,11.0837,1.80049,-8.77023,-0.61772
542,11.0837,2.04711,-8.84445,-0.71589
543,11.0854,2.16203,-8.90191,-0.76377
544,11.0862,2.46371,-9.0767,-0.87152
545,11.0882,2.71271,-9.16768,-0.88828
546,11.0914,2.80848,-9.38077,-0.84997
547,11.0926,2.99284,-9.60583,-0.7949
548,11.0977,3.19875,-9.82131,-0.65603
549,11.0977,3.23227,-9.91469,-0.62251
550,11.1003,3.23945,-9.98413,-0.58181
551,11.1003,3.25861,-10.03919,-0.54829
552,11.102,3.24185,-10.10384,-0.55308
553,11.1043,3.18917,-10.13975,-0.62969
554,11.1063,3.14368,-10.11821,-0.65364
555,11.1081,3.05749,-10.04638,-0.70152
556,11.11,3.03594,-10.02243,-0.73504
557,11.1119,3.07664,-9.94821,-0.84997
558,11.1176,3.18439,-9.76864,-1.15404
559,11.1177,3.18439,-9.76864,-1.15404
560,11.1189,3.19636,-9.73273,-1.1708
561,11.1208,3.18199,-9.66569,-1.22347
562,11.1223,3.16523,-9.62498,-1.23066
563,11.1242,3.18917,-9.54597,-1.17798
564,11.1265,3.23467,-9.50048,-1.1277
565,11.1279,3.35917,-9.44541,-0.9625
566,11.13,3.53634,-9.35443,-0.72307
567,11.1326,3.63451,-9.30655,-0.55547
568,11.1375,4.09421,-9.19641,0.1245
569,11.1375,4.09421,-9.19641,0.1245
570,11.1382,4.20914,-9.19402,0.27774
571,11.1405,4.51081,-9.16768,0.47407
572,11.1429,4.83165,-9.1605,0.52674
573,11.1443,5.00403,-9.15571,0.6273
574,11.1461,5.28895,-9.18683,0.71828
575,11.1484,5.44698,-9.21556,0.7925
576,11.1506,5.85879,-9.30176,0.91222
577,11.1521,6.32567,-9.30894,1.03433
578,11.1574,7.03438,-9.44063,1.19953
579,11.1578,7.23789,-9.44063,1.2115
580,11.1584,7.41746,-9.58907,1.19953
581,11.1601,7.58027,-9.68484,1.14686
582,11.1622,7.88195,-9.98413,0.89785
583,11.1641,8.01124,-10.15651,0.7111
584,11.1684,8.18842,-10.54199,0.32083
585,11.1684,8.35362,-10.93944,-0.09338
586,11.17,8.46855,-11.1238,-0.26816
587,11.1721,8.65051,-11.43506,-0.48125
588,11.1792,8.78459,-11.77983,-0.53632
